IDX,Station,Inc,Cost,Constraint_original,Availability,LATITUDE,LONGITUDE
77,INYOKERN,186,329000000,Control to Inyokern area constraint,0,35.65256911,-117.7958411
78,IVANPAH,6800,2165000000,Lugo - Victorville area constraint,0,35.54436013,-115.4689045
79,JESSUP,8645,2851848000,Vaca Dixon-Tesla 500kV Line,0,40.46175716,-122.3277823
80,JULIAN HINDS,600,1182000000,Eagle Mountain Constraint,0,33.70458009,-115.6265864
81,KEARNEY,16891,940000000,Midway-Q2005 230kV Line,0,32.83281863,-117.131872
82,KELSO,6034,417332000,Windmaster-Delta pumps 230 kV line,0,37.79745501,-121.6033002
83,KERN OIL,637,760000000,Semitropic-Midway 115kV Line,0,35.44067972,-119.0205374
84,KERN,16891,940000000,Midway-Q2005 230kV Line,0,35.37940395,-119.0970861
85,KIRKER,978,271242991.8,Dumbarton-Newark 115 kV line,0,38.02083912,-121.9059108
86,KRAMER,1206,334477554.3,Kramer to Victor Area Constraint,0,34.98913933,-117.5425031
87,LAKEVIEW,16891,940000000,Midway-Q2005 230kV Line,0,35.09416069,-119.1010712
88,LAKEVILLE,861,0,Lakeville-Ignacio 230 kV line,0,38.25090716,-122.5812294
89,LAMBIE,1766,700000000,Birds Landing-Contra Costa 230kV Line,0,38.22142226,-121.8669673
90,LAMONT,16891,940000000,Midway-Q2005 230kV Line,0,35.29687891,-118.86144
91,LAS AGUILAS,0,0,Moss Landing-Las Aguilas 230 kV Line,0,36.769902,-121.306579
92,LATHROP,1367,379130030.5,VEA 138kV area constraint,0,36.653826,-116.396571
93,LE GRAND,0,0,Moss Landing-Las Aguilas 230 kV Line,0,37.18493674,-120.2739328
94,LERDO,637,760000000,Semitropic-Midway 115kV Line,0,35.50035218,-119.1519621
95,LINCOLN (PGE),109,9329000,Woodland- Davis 115kV line,0,38.9005354,-121.2941438
96,LLAGAS,712,380000000,Morganhill-Metcalf 115kV Line,0,37.00726767,-121.5573085
97,LOGAN CREEK,1766,700000000,Birds Landing-Contra Costa 230kV Line,0,39.53951651,-122.2629945
98,LONE TREE,6034,417332000,Windmaster-Delta pumps 230 kV line,0,37.94614381,-121.7598214
99,LOS ESTEROS,348,96515911.21,Los Esteros-Silicon Valley 230 kV,0,37.42737416,-121.9329426
100,LAS POSITAS,6034,417332000,Windmaster-Delta pumps 230 kV line,0,37.70076474,-121.7333187
101,LOVELAND,431,671054000,Miguel 69 kV constraint,0,32.7969521,-116.7922452
102,MADISON (PGE),1766,700000000,Birds Landing-Contra Costa 230kV Line,0,38.67068357,-121.9693039
103,MAGUNDEN,2000,4358000000,South of Magunden Constraint,0,35.36114799,-118.9219285
104,MANTECA,1255,1700000000,Kasson Jct-Heinz 115 kV line,0,37.80126059,-121.2239269
105,MARTIN,653,0,Sobrante-Moraga 230 kV line,0,37.70370627,-122.4094698
106,MARTINEZ,978,271242991.8,Dumbarton-Newark 115 kV line,0,38.01494692,-122.116201
107,MCCALL,16891,940000000,Midway-Q2005 230kV Line,0,36.61080379,-119.6390908
108,MENDOCINO,1766,700000000,Birds Landing-Contra Costa 230kV Line,0,39.25055841,-123.1964376
109,MENDOTA,0,0,Moss Landing-Las Aguilas 230 kV Line,0,36.72037815,-120.4587946
110,MERCED (PGE),16891,940000000,Midway-Q2005 230kV Line,0,37.27331164,-120.487316
111,MESA (N),16891,940000000,Midway-Q2005 230kV Line,0,35.00857958,-120.4530486
112,MESA (SCE),1058,11000000,Del Amo - Barre Area Constraint,0,34.03704643,-118.1103667
113,MIDWAY,8379,214062000,Gates-Panoche 230 kV #1 and #2 Lines,0,35.40387474,-119.4521684
114,MIDWAY,8379,214062000,Gates-Panoche 230 kV #1 and #2 Lines,0,33.19239546,-115.4344033
115,MIGUEL,431,671054000,Miguel 69 kV constraint,0,32.6796375,-116.9841846
116,MIRAGE,5000,1386722862,Devers-Red Bluff Constraint,0,33.81844345,-116.3697227
117,MISSION,936,259594519.8,Internal San Diego Area constraint,0,32.78390712,-117.1371831
118,MOHAVE,6800,2165000000,Lugo - Victorville area constraint,0,35.144827,-114.553482
119,MOORPARK,2000,4358000000,South of Magunden Constraint,0,34.28085446,-118.9031741
120,MORAGA,6034,417332000,Windmaster-Delta pumps 230 kV line,0,37.84789177,-122.1606837
121,MORGAN HILL,712,380000000,Morganhill-Metcalf 115kV Line,0,37.12666908,-121.6589153
122,MORRO BAY,16891,940000000,Midway-Q2005 230kV Line,0,35.37339038,-120.8551307
123,MUSTANG,0,0,Moss Landing-Las Aguilas 230 kV Line,0,36.255598,-119.887776
124,NEWARK,653,0,Sobrante-Moraga 230 kV line,0,37.50072034,-121.985682
125,NORTH CITY WEST,936,259594519.8,Internal San Diego Area constraint,0,32.95874734,-117.2207141
126,NORTH DUBLIN,6034,417332000,Windmaster-Delta pumps 230 kV line,0,37.74488621,-121.8578867
127,OAKLAND C,6034,417332000,Windmaster-Delta pumps 230 kV line,0,37.79791977,-122.2820704
128,OAKLAND I,8645,2851848000,Vaca Dixon-Tesla 500kV Line,0,37.7975518,-122.280834
129,OCEANO,784,150000000,Midway 230/115kV TB #3,0,35.10152776,-120.5811507
130,OCOTILLO,2823,782943728,East of Miguel constraint,0,32.737412,-116.004962
131,OLD TOWN,746,206899051,Encina - San Luis Rey 230 kV constraint,0,32.76611049,-117.1922795
132,OLIVE,16891,940000000,Midway-Q2005 230kV Line,0,34.30784674,-118.4505666
133,OTAY,431,671054000,Miguel 69 kV constraint,0,32.59531954,-117.0578292
134,OTAY MESA,4754,29971000,Silvergate - Bay Blvd 230 kV constraint,0,32.57406801,-116.9113836
135,PADRE FLATS,0,0,Moss Landing-Las Aguilas 230 kV Line,0,36.022522,-121.177571
136,PAHRUMP,1367,379130030.5,VEA 138kV area constraint,0,36.210854,-115.977461
137,PALA,692,28300000,Ocean Ranch 69 kV constraint,0,33.355857,-117.112315
138,PALERMO,707,125000000,Rocklin-Pleaseant grove 115kV line,0,39.45426599,-121.5178598
139,PALOMAR,936,259594519.8,Internal San Diego Area constraint,0,33.12287041,-117.2879398
140,PANOCHE,16891,940000000,Midway-Q2005 230kV Line,0,36.65333066,-120.5823862
141,PARDEE (SCE),2000,4358000000,South of Magunden Constraint,0,34.43976899,-118.5817125
