Name,Capacity,Path Cost,Bus Index,Bus Name,Cap Increase,Price,Constraint Name
CA - DGS RFP - RJ Donovan State Prison,2,96708080,167,SANDLOT,1206,334477554.3,Kramer to Victor Area Constraint
CA-DGS-California Correctional Inst,4,42590112,67,GRIMMWAY-MALAGA,637,760000000,Semitropic-Midway 115kV Line
University of the Pacific,4.5,4016884.5,284,STAGG,4931,0,Los Banos 500/230kV TB
Five H Farms Solar Array,1,4073689.75,25,CHOWCHILLA,16891,940000000,Midway-Q2005 230kV Line
Van der Kooi Dairy Solar Array,1,12679935,70,HENRIETTA,0,0,Moss Landing-Las Aguilas 230 kV Line
Donaghy-Stockton,1.1,4740380.5,233,WEBER,460,400000000,Bellota-Weber 230kV line
CSP Los Angeles,2.3,7217521.5,285,ANTELOPE,2000,100000000,Antelope-Neenach Constraint
West Village Solar - Array 1Community So,1.2,4016866.25,39,DAVIS (PGE),109,9329000,Woodland- Davis 115kV line
Wonderful Huller & Shellling,1.5,24211314,192,TEMBLOR,784,150000000,Midway 230/115kV TB #3
Wonderful Lost Hills,17.1,12937449,3,ARCO (PGE),16891,940000000,Midway-Q2005 230kV Line
Danell Bros Inc,2.6,19942338,33,CORCORAN,0,0,Moss Landing-Las Aguilas 230 kV Line
CA - Ventura Co CCD - Moorpark College,2.6,9288428,119,MOORPARK,2000,4358000000,South of Magunden Constraint
Lincoln WWTF Hybrid,3,5649835,151,PLEASANT GROVE,574,0,Rio Oso-Brighton 230kV line
Bodega Avenue Solar LLC,1,9357997,34,CORONA (PGE),861,0,Lakeville-Ignacio 230 kV line
Gilead Oceanside Solar Project,1.5,3831406.25,288,SAN LUIS REY,2201,210600000,Talega 230 kV constraint
CA-Ventura Co CCD-Oxnard College Canopy,1.5,20381448,170,SANTA CLARA,2000,4358000000,South of Magunden Constraint
"Laredo Detention Facility - Solar 2, 3",3.1,4317137,94,LERDO,637,760000000,Semitropic-Midway 115kV Line
Sealed Air Madera Solar Project,3,7438587.5,12,BORDEN,0,0,Moss Landing-Las Aguilas 230 kV Line
Graniterock Quarry,4.4,20772872,241,GREEN VALLEY (PGE),712,380000000,Morganhill-Metcalf 115kV Line
Sierra Pacific Chinese Camp,3.6,16156581,245,MELONES (PGE),1255,1700000000,Kasson Jct-Heinz 115 kV line
CA-DGS-California Men's Colony,2.2,12069453,164,SAN LUIS OBISPO,784,150000000,Midway 230/115kV TB #3
CA-DGS- RFP-Correctional Training Fac,1.6,33571280,28,COBURN,0,0,Moss Landing-Las Aguilas 230 kV Line
CA-DGS RFP-Pleasant Valley State Prison,2,12382416,60,GATES,16891,940000000,Midway-Q2005 230kV Line
CA - Fresno County - Juvenile Hall,2.8,10265944,107,MCCALL,16891,940000000,Midway-Q2005 230kV Line
Amazon Bakersfield 1 Solar Project,4.3,4076389,83,KERN OIL,637,760000000,Semitropic-Midway 115kV Line
Calibrant Bakersfield LLC,1.3,3424236.75,0,7TH STANDARD,16891,940000000,Midway-Q2005 230kV Line
Google Moffett Park Solar Project,0.9,9267024,99,LOS ESTEROS,348,96515911.21,Los Esteros-Silicon Valley 230 kV
Gilead Sciences La Verne Rooftop Solar,1.7,17229544,313,CHINO,0,0,SCE Metro Area Default Constraint
West Valley Mission CCD Solar Project,2.7,2886242.25,249,SARATOGA,653,0,Sobrante-Moraga 230 kV line
Orange Coast College PH2 Solar Project,3.1,3940248.5,304,ELLIS (SCE),0,0,SCE Metro Area Default Constraint
CA - Madera USD - Madera South HS,1.2,7060763.5,12,BORDEN,0,0,Moss Landing-Las Aguilas 230 kV Line
BBARWA,1.2,74420864,252,SAN BERNARDINO,3350,89000000,Etiwanda-Rancho Vista Constraint
Niagara Bottling - Rialto,4.2,13214548,237,ETIWANDA,3350,89000000,Etiwanda-Rancho Vista Constraint
Sandrini Solar 200,200,4525353.5,87,LAKEVIEW,16891,940000000,Midway-Q2005 230kV Line
Sandrini Solar 100,100,2461811,87,LAKEVIEW,16891,940000000,Midway-Q2005 230kV Line
Edwards Sanborn E1B,154.4,21959432,210,WINDHUB,2500,612000000,Windhub Constraint
Edwards Sanborn E4,148.9,23832320,210,WINDHUB,2500,612000000,Windhub Constraint
Edwards Sanborn E5,68,23462524,210,WINDHUB,2500,612000000,Windhub Constraint
Edwards Sanborn S4,41.2,17981496,210,WINDHUB,2500,612000000,Windhub Constraint
POM Juice Solar,1.5,15292302,156,RECTOR,2000,4358000000,South of Magunden Constraint
POM Beverage Solar,1.8,15613665,156,RECTOR,2000,4358000000,South of Magunden Constraint
Oberon Solar Project,250,9060376,157,RED BLUFF,5000,1386722862,Devers-Red Bluff Constraint
"Canal Energy S23, LLC",4.1,8165209,33,CORCORAN,0,0,Moss Landing-Las Aguilas 230 kV Line
Victory Pass,200,527043.6875,157,RED BLUFF,5000,1386722862,Devers-Red Bluff Constraint
Dover Dairy,1.1,24945322,107,MCCALL,16891,940000000,Midway-Q2005 230kV Line
