NAME,ZIP,LATITUDE,LONGITUDE
TAP302547,92399,34.026564,-117.1031581
TAP302548,93212,35.96336505,-119.4559908
TAP302549,94801,37.98253682,-122.3580571
STONY POINT TAP,95407,38.40179939,-122.7133139
MAXWELL TAP,92557,33.94677895,-117.261623
TAP302552,95828,38.47528656,-121.4086312
TAP302553,92274,33.52524292,-116.1389426
MABURY TAP,95131,37.39276702,-121.8778083
TAP302557,95827,38.57697619,-121.3272116
TAP302559,95220,38.18939072,-121.2609938
TAP302560,90063,34.042479,-118.1869648
TAP302563,95645,38.856723,-121.786843
MAYBERRY TAP,92582,33.78043329,-116.9890493
