Station,Inc,Cost,Constraint_original
MOSS LANDING,16891,940000000,Midway-Q2005 230kV Line
MT POSO,16891,940000000,Midway-Q2005 230kV Line
MUSTANG,0,0,Moss Landing-Las Aguilas 230 kV Line
NEW MELONES,2019,0,Panoche- Mendota 115 kV line
NEWARK,653,0,Sobrante-Moraga 230 kV line
NEWHALL,358,125000000,Merced 115/70kV TB#2
NORCO (PGE),784,150000000,Midway 230/115kV TB #3
NORTH CITY WEST,936,259594519.8,Internal San Diego Area constraint
NORTH DUBLIN,6034,417332000,Windmaster-Delta pumps 230 kV line
NORTH GILA,2823,782943728,East of Miguel constraint
OAKLAND C,6034,417332000,Windmaster-Delta pumps 230 kV line
OAKLAND I,8645,2851848000,Vaca Dixon-Tesla 500kV Line
OCEANO,784,150000000,Midway 230/115kV TB #3
OCOTILLO,2823,782943728,East of Miguel constraint
OLD TOWN,746,206899051,Encina - San Luis Rey 230 kV constraint
OLINDA,0,0,SCE Metro Area Default Constraint
OLIVE,16891,940000000,Midway-Q2005 230kV Line
OLIVEHURST,109,9329000,Woodland- Davis 115kV line
ORMOND BEACH,2000,4358000000,South of Magunden Constraint
OTAY,431,671054000,Miguel 69 kV constraint
OTAY MESA,4754,29971000,Silvergate - Bay Blvd 230 kV constraint
PADRE FLATS,0,0,Moss Landing-Las Aguilas 230 kV Line
PAHRUMP,1367,379130030.5,VEA 138kV area constraint
PALA,692,28300000,Ocean Ranch 69 kV constraint
PALERMO,707,125000000,Rocklin-Pleaseant grove 115kV line
PALO VERDE,5000,1386722862,Devers-Red Bluff Constraint
PALOMAR,936,259594519.8,Internal San Diego Area constraint
PANOCHE,16891,940000000,Midway-Q2005 230kV Line
PARDEE (SCE),2000,4358000000,South of Magunden Constraint
PARKWAY,6034,417332000,Windmaster-Delta pumps 230 kV line
PASTORIA,2000,100000000,Antelope-Neenach Constraint
PADUA,0,0,SCE Metro Area Default Constraint
PEABODY,1766,700000000,Birds Landing-Contra Costa 230kV Line
PEASE,707,125000000,Rocklin-Pleaseant grove 115kV line
PENASQUITOS,746,206899051,Encina - San Luis Rey 230 kV constraint
PENNGROVE,861,0,Lakeville-Ignacio 230 kV line
PEORIA,1255,1700000000,Kasson Jct-Heinz 115 kV line
PIERCY,712,380000000,Morganhill-Metcalf 115kV Line
PINE FLAT,0,0,Moss Landing-Las Aguilas 230 kV Line
PISGAH,1046,239000000,Calcite to Lugo Area Constraint
PIT 1,26,180000000,Carberry-Round Mountain 230kV Line
ROUND MOUNTAIN,26,180000000,Carberry-Round Mountain 230kV Line
PIT 4,8645,2851848000,Vaca Dixon-Tesla 500kV Line
PITTSBURG,6034,417332000,Windmaster-Delta pumps 230 kV line
PLACERVILLE,574,0,Rio Oso-Brighton 230kV line
PLEASANT GROVE,574,0,Rio Oso-Brighton 230kV line
POE,707,125000000,Rocklin-Pleaseant grove 115kV line
POINT LOMA,936,259594519.8,Internal San Diego Area constraint
POMERADO,936,259594519.8,Internal San Diego Area constraint
POSO MOUNTAIN,16891,940000000,Midway-Q2005 230kV Line
PRIMM,6800,2165000000,Lugo - Victorville area constraint
PUTAH CREEK,1766,700000000,Birds Landing-Contra Costa 230kV Line
QUINTO,4931,0,Los Banos 500/230kV TB
RACETRACK,1255,1700000000,Kasson Jct-Heinz 115 kV line
RANCHO MISSION VIEJO,556,103366000,Trabuco-Capistrano 138 kV constraint
CAMANCHE,3192,330000000,Oro Loma-El Nido 115kV Line
RANCHO VISTA,0,0,SCE Metro Area Default Constraint
RANDSBURG,1206,334477554.3,Kramer to Victor Area Constraint
RECTOR,2000,4358000000,South of Magunden Constraint
RED BLUFF,5000,1386722862,Devers-Red Bluff Constraint
REDONDO,800,28000000,Hinson - Del Amo Constraint
RENFRO,16891,940000000,Midway-Q2005 230kV Line
RICHMOND Q,6034,417332000,Windmaster-Delta pumps 230 kV line
RINCON (PGE),50,50000000,Cortina-Eagle Rock 115 kV line
RIO BRAVO,16891,940000000,Midway-Q2005 230kV Line
RIO HONDO,1058,11000000,Del Amo - Barre Area Constraint
RIO OSO,109,9329000,Woodland- Davis 115kV line
RIPON,1255,1700000000,Kasson Jct-Heinz 115 kV line
RIVERBANK,1255,1700000000,Kasson Jct-Heinz 115 kV line
ROADWAY,1206,334477554.3,Kramer to Victor Area Constraint
ROSSMOOR,6034,417332000,Windmaster-Delta pumps 230 kV line
ROUND MOUNTAIN,8645,2851848000,Vaca Dixon-Tesla 500kV Line
SALADO,1255,1700000000,Kasson Jct-Heinz 115 kV line
SALT CREEK,431,671054000,Miguel 69 kV constraint
SAN BERNARDINO,3350,89000000,Etiwanda-Rancho Vista Constraint
SAN JOSE STA. B,712,380000000,Morganhill-Metcalf 115kV Line
SAN LEANDRO U,290,125000000,Grant - Eastshore #2 line 115 kV
SAN LUIS OBISPO,784,150000000,Midway 230/115kV TB #3
SAN LUIS REY,2201,210600000,Talega 230 kV constraint
SAN ONOFRE,556,103366000,Trabuco-Capistrano 138 kV constraint
SAN PABLO,290,125000000,Grant - Eastshore #2 line 115 kV
SAN RAMON,6034,417332000,Windmaster-Delta pumps 230 kV line
SANDLOT,1206,334477554.3,Kramer to Victor Area Constraint
SANDY VALLEY,1285,356387775.6,GLW 230kV area constraint
SANGER,16891,940000000,Midway-Q2005 230kV Line
SANTA CLARA,2000,4358000000,South of Magunden Constraint
SANTA ROSA,861,0,Lakeville-Ignacio 230 kV line
SANTA TERESA,300,0,Tesla-Bellota 230 kV line
SANTEE (SDGE),936,259594519.8,Internal San Diego Area constraint
SANTIAGO,0,0,SCE Metro Area Default Constraint
SARATOGA,653,0,Sobrante-Moraga 230 kV line
SAUGUS,6800,2165000000,Lugo - Victorville area constraint
SCHINDLER,0,0,Moss Landing-Las Aguilas 230 kV Line
SCHULTE,707,125000000,Rocklin-Pleaseant grove 115kV line
SEMITROPIC,16891,940000000,Midway-Q2005 230kV Line
SERRANO,0,0,SCE Metro Area Default Constraint
SHADOWRIDGE,936,259594519.8,Internal San Diego Area constraint
SHAFTER,16891,940000000,Midway-Q2005 230kV Line
SHILOAH II,1766,700000000,Birds Landing-Contra Costa 230kV Line
SILVERADO,50,50000000,Cortina-Eagle Rock 115 kV line
SILVERGATE,936,259594519.8,Internal San Diego Area constraint
SISQUOC,784,150000000,Midway 230/115kV TB #3
SLOAN CANYON,1285,356387775.6,GLW 230kV area constraint
SMYRNA,16891,940000000,Midway-Q2005 230kV Line
SOBRANTE,6034,417332000,Windmaster-Delta pumps 230 kV line
SOLAR,16891,940000000,Midway-Q2005 230kV Line
SPRINGVILLE,2000,4358000000,South of Magunden Constraint
STAGG,4931,0,Los Banos 500/230kV TB
STOCKDALE,16891,940000000,Midway-Q2005 230kV Line
STOREY,16891,940000000,Midway-Q2005 230kV Line
SUNCREST,700,100000000,Chicarita 138 kV constraint
CRESTWOOD,2823,782943728,East of Miguel constraint
SURF,16891,940000000,Midway-Q2005 230kV Line
SYCAMORE CANYON,700,100000000,Chicarita 138 kV constraint
SYLMAR EAST,6800,2165000000,Lugo - Victorville area constraint
TABLE MT.,8645,2851848000,Vaca Dixon-Tesla 500kV Line
TAFT,16891,940000000,Midway-Q2005 230kV Line
TALEGA,556,103366000,Trabuco-Capistrano 138 kV constraint
TASSAJARA,6034,417332000,Windmaster-Delta pumps 230 kV line
TEMBLOR,784,150000000,Midway 230/115kV TB #3
TEMPLETON,16891,940000000,Midway-Q2005 230kV Line
TESLA,831,0,Newark-Newark Distribution 115 kV line
TEVIS,16891,940000000,Midway-Q2005 230kV Line
THOUSANDAIRE,1285,356387775.6,GLW 230kV area constraint
TORTILLA,1206,334477554.3,Kramer to Victor Area Constraint
TRABUCO,556,103366000,Trabuco-Capistrano 138 kV constraint
TRACY (PGE),16891,940000000,Midway-Q2005 230kV Line
TRANQUILITY,0,0,Moss Landing-Las Aguilas 230 kV Line
CRAZY EYES,1285,356387775.6,GLW 230kV area constraint
TULUCAY,861,0,Lakeville-Ignacio 230 kV line
TUPMAN,16891,940000000,Midway-Q2005 230kV Line
UKIAH,50,50000000,Cortina-Eagle Rock 115 kV line
VACA-DIXON,16891,940000000,Midway-Q2005 230kV Line
VALLEY (SCE),3350,89000000,Etiwanda-Rancho Vista Constraint
VALLEY (VEA),1367,379130030.5,VEA 138kV area constraint
VALLEY HOME,1255,1700000000,Kasson Jct-Heinz 115 kV line
VALLEY SWITCH,1367,379130030.5,VEA 138kV area constraint
VASONA,6034,417332000,Windmaster-Delta pumps 230 kV line
VESTAL,2000,4358000000,South of Magunden Constraint
VICTOR,1221,338637722.9,Victor to Lugo Area Constraint
VIERRA,1255,1700000000,Kasson Jct-Heinz 115 kV line
VILLA PARK,0,0,SCE Metro Area Default Constraint
VINCENT,1800,660000000,Pardee-Sylmar Constraint
VINEYARD,6034,417332000,Windmaster-Delta pumps 230 kV line
VISTA (SCE),3350,89000000,Etiwanda-Rancho Vista Constraint
VISTA (VEA),1367,379130030.5,VEA 138kV area constraint
WALNUT,1058,11000000,Del Amo - Barre Area Constraint
WARNE,2000,4358000000,South of Magunden Constraint
WARNERVILLE,2019,0,Panoche- Mendota 115 kV line
WAUKENA,0,0,Jacksson-Waukena_x0002_Corcoran 115kV line
WEBER,460,400000000,Bellota-Weber 230kV line
WEST FRESNO,16891,940000000,Midway-Q2005 230kV Line
WESTLEY,16891,940000000,Midway-Q2005 230kV Line
WEST PARK,637,760000000,Semitropic-Midway 115kV Line
WHEELER RIDGE,16891,940000000,Midway-Q2005 230kV Line
WHIRLWIND,1500,13200000,Antelope-Vincent Constraint
WILSON,16891,940000000,Midway-Q2005 230kV Line
WIND GAP,16891,940000000,Midway-Q2005 230kV Line
WINDHUB,2500,612000000,Windhub Constraint
WOODLAND (PGE),109,9329000,Woodland- Davis 115kV line
WYANDOTTE,707,125000000,Rocklin-Pleaseant grove 115kV line
