Name,Availability
LAS PULGAS 69 kV,48.42
LATHROP 138 kV,"-1,020.72"
LAURELES 60 kV,38.77
LAWRENCE 115 kV,112.07
LAYTONVILLE 60 kV,"-3,891.69"
LE GRAND 115 kV,-461.2
LEMOORE 70 kV,-420.29
LERDO 115 kV,"-1,010.89"
LEWIS 230 kV,"2,097.56"
LIGHTHIPE 230 kV,"2,367.97"
LILAC 69 kV,-308.57
LINCOLN 115 kV,"-10,657.16"
LIVERMORE 60 kV,"-2,279.84"
LIVINGSTON 115 kV,-463.88
LLAGAS 115 kV,-38.26
LOCKEFORD 115 kV,168.63
LOCKEFORD 230 kV,422.11
LOCKEFORD 60 kV,329.86
LOCKHEED 1 115 kV,123.29
LODI 60 kV,184.97
LOGAN CREEK 230 kV,"-4,281.32"
LONE TREE 230 kV,"-10,549.05"
LOS BANOS 230 kV,493.75
LOS BANOS 500 kV,"2,179.84"
LOS COCHES 138 kV,-258.52
LOS COCHES 69 kV,-262.12
LOS ESTEROS 230 kV,"-6,760.66"
LOS GATOS 60 kV,40.07
LOVELAND 69 kV,"-3,865.10"
LUCERNE 115 kV,"-3,648.74"
LUGO 230 kV,262.04
LUGO 500 kV,600
MADERA 70 kV,-338.17
MADISON 115 kV,"-3,890.34"
MAGUNDEN 115 kV,"-1,010.89"
MAGUNDEN 230 kV,-50.44
MALAGA 115 kV,-688.69
MANCHESTER 115 kV,-739.24
MANNING 230 kV,"-1,482.52"
MANNING 500 kV,"2,286.74"
MANTECA 115 kV,-228.12
MAPLE CREEK 60 kV,"-5,353.16"
MARGARITA 138 kV,248.08
MARTINEZ PP 115 kV,"-2,178.05"
MARYSVILLE 60 kV,"-6,020.46"
MCCALL 115 kV,-677.07
MCCALL 230 kV,-675.02
MCKEE 115 kV,288.34
MEADOW LANE 115 kV,"-2,391.49"
MELONES SW STA 115 kV,73.28
MELROSE 69 kV,187.14
MENDOCINO 115 kV,"-3,878.24"
MENDOCINO 60 kV,"-3,887.34"
MENDOTA 115 kV,-694.9
MENLO 60 kV,"-3,695.22"
MERCED 115 kV,-463.86
MERCY SPRINGS SW STA 70 kV,"-1,363.95"
MERIDIAN 60 kV,"-3,825.78"
MESA 115 kV,-353.84
MESA 230 kV,-352.54
MESA 230 kV,"2,878.10"
MESA HEIGHTS 69 kV,-267.99
MESA RIM 69 kV,-200.3
METCALF 115 kV,84.74
METCALF 230 kV,"1,668.59"
