IDX,Station,Inc,Cost,Constraint_original,Availability,LATITUDE,LONGITUDE,station_increment,capacity_additions,projects_built
67,GRIMMWAY-MALAGA,637,7.6e8,Semitropic-Midway 115kV Line,0.0,35.24731208,-118.8609024,0.0,0.0,
68,GWF 2,0,0.0,Moss Landing-Las Aguilas 230 kV Line,0.0,38.01604449,-121.8607166,0.0,0.0,
69,HELM,0,0.0,Moss Landing-Las Aguilas 230 kV Line,0.0,36.59162546,-120.176288,0.0,0.0,
70,HENRIETTA,0,0.0,Moss Landing-Las Aguilas 230 kV Line,0.0,36.24213087,-119.9028224,0.0,0.0,
71,HERNDON,0,0.0,Moss Landing-Las Aguilas 230 kV Line,0.0,36.84478476,-119.9221845,0.0,0.0,
72,HIGGINS,574,0.0,Rio Oso-Brighton 230kV line,0.0,39.04389408,-121.0907025,0.0,0.0,
73,HOPLAND,50,5.0e7,Cortina-Eagle Rock 115 kV line,0.0,38.97281703,-123.0811094,0.0,0.0,
74,IGNACIO,50,5.0e7,Cortina-Eagle Rock 115 kV line,0.0,38.07742858,-122.5409276,0.0,0.0,
75,IMPERIAL VALLEY,2823,7.82943728e8,East of Miguel constraint,0.0,32.71761928,-115.7155325,0.0,0.0,
76,INNOVATION,1285,3.563877756e8,GLW 230kV area constraint,0.0,36.58936,-116.107721,0.0,0.0,
77,INYOKERN,186,3.29e8,Control to Inyokern area constraint,0.0,35.65256911,-117.7958411,0.0,0.0,
78,IVANPAH,6800,2.165e9,Lugo - Victorville area constraint,0.0,35.54436013,-115.4689045,0.0,0.0,
79,JESSUP,8645,2.851848e9,Vaca Dixon-Tesla 500kV Line,0.0,40.46175716,-122.3277823,0.0,0.0,
80,JULIAN HINDS,600,1.182e9,Eagle Mountain Constraint,0.0,33.70458009,-115.6265864,0.0,0.0,
81,KEARNEY,16891,9.4e8,Midway-Q2005 230kV Line,0.0,32.83281863,-117.131872,0.0,0.0,
82,KELSO,6034,4.17332e8,Windmaster-Delta pumps 230 kV line,0.0,37.79745501,-121.6033002,0.0,0.0,
83,KERN OIL,637,7.6e8,Semitropic-Midway 115kV Line,0.0,35.44067972,-119.0205374,0.0,0.0,
84,KERN,16891,9.4e8,Midway-Q2005 230kV Line,0.0,35.37940395,-119.0970861,0.0,0.0,
85,KIRKER,978,2.712429918e8,Dumbarton-Newark 115 kV line,0.0,38.02083912,-121.9059108,0.0,0.0,
86,KRAMER,1206,3.344775543e8,Kramer to Victor Area Constraint,0.0,34.98913933,-117.5425031,415.0,415.0,Solar: Aratina Solar Center 1B; Solar: Resurgence Solar; Battery: Aratina Solar Center 1 Hybrid
